"imageLink","price","productName","storeName"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/6/21/5fda4aa9-28f2-4156-ace0-6b6daadba525.jpg.webp?ect=4g","2702000","Infinix Note 10 Pro 8/128 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/24/f0a41dc2-105e-4031-88a9-aa41e6df92ed.png.webp?ect=4g","2685000","XIAOMI REDMI NOTE 10S 8/128 GB REDMI NOTE 10S 6/64 GB GARANSI RESMI","STR-STORE"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/11/12/5472f765-7c37-4c71-8b79-eee1ca468bde.jpg.webp?ect=4g","8475000","ASUS ROG PHONE 5 8/128GB 12/256GB GARANSI RESMI ASUS INDONESIA","centralphone73"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/f9043f8a-f810-41cb-8a09-7d59da748e17.jpg.webp?ect=4g","4689000","Samsung Galaxy A52 8/128Gb | 8/256Gb - Grs resmi Sein","Pluto sellular"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/12/27/816575d6-f86f-406f-8efe-ff6ef082b76c.jpg.webp?ect=4g","1189000","Infinix Itel Vision 1 Pro 3/32 RAM 3GB ROM 32GB GARANSI RESMI","Shadow Gold"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/5/a654e2e6-086f-4d79-897f-d063a9626f52.jpg.webp?ect=4g","1899900","SAMSUNG GALAXY M12 - 5000mAh Battery - 4GB 64GB 4/64 - Garansi Resmi","Shopyz ID"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/14/8506aa34-9607-4d17-b9fc-1394661415e2.jpg.webp?ect=4g","224900","Nokia 105 king 2019 Garansi Resmi Tam","36shop"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/3/18/a40d7844-7dff-4a83-9a8e-1b90162532b8.jpg.webp?ect=4g","3469000","Samsung Galaxy A32 6/128Gb | 8/128Gb - Grs resmi Sein","Pluto sellular"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/4/30/d63e6a87-b8c1-4a78-aae0-694780ef5659.jpg.webp?ect=4g","3906000","Xiaomi Poco X3 Pro 8/256 GB Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/9/dc76e9f9-6257-4b2f-8a35-dfdff7ef385f.jpg.webp?ect=4g","126000","Maxtron C31i Pro Garansi Resmi","Gudang-HP"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/3/2f9cc900-efbe-46eb-85dd-e6bf936578f7.jpg.webp?ect=4g","147000","hp nokia 108 murah original jadul nokia camera dual sim - Hitam","Little Superman"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/9/28/8936e006-1a63-41e5-a916-5344232e9437.jpg.webp?ect=4g","126000","Nokia 106 - 2018 Dual Sim - Biru","Jvi shop"
"https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/10/13/057dc83c-d62c-4db1-a0ab-f2014529209d.png.webp?ect=4g","4290000","iphone X TEN 64GB 256GB Bekas Ori Second Seken Fulset Kondisi Perfect - 64 gb, Space Gray","kino phone cell"
